,public,name,url
219,True,zhuokaizhao/hale_cuda,https://api.github.com/repos/zhuokaizhao/hale_cuda
220,True,AdriannaUrbanska/Introduction-to-CUDA-and-OpenCL,https://api.github.com/repos/AdriannaUrbanska/Introduction-to-CUDA-and-OpenCL
221,True,pnorouzi/Project1-CUDA-Flocking,https://api.github.com/repos/pnorouzi/Project1-CUDA-Flocking
222,True,iafb/ocuda,https://api.github.com/repos/iafb/ocuda
224,True,rugleb/cuda,https://api.github.com/repos/rugleb/cuda
225,True,Vacuda/InventoryShelf,https://api.github.com/repos/Vacuda/InventoryShelf
227,True,FelixBueltmannBarracuda/ngf-azure-templates,https://api.github.com/repos/FelixBueltmannBarracuda/ngf-azure-templates
228,True,danielsundfeld/cuda_sankoff,https://api.github.com/repos/danielsundfeld/cuda_sankoff
231,True,ska-telescope/CUDA_DFT,https://api.github.com/repos/ska-telescope/CUDA_DFT
232,True,ericcuda/work_area,https://api.github.com/repos/ericcuda/work_area
233,True,mjk-software/cudawdir-mateusz,https://api.github.com/repos/mjk-software/cudawdir-mateusz
234,True,The4ofUs/3D-Random-Walk-CUDA,https://api.github.com/repos/The4ofUs/3D-Random-Walk-CUDA
235,True,akrizhevsky/cuda-convnet2,https://api.github.com/repos/akrizhevsky/cuda-convnet2
236,True,YunYang1994/cuda-tutorial,https://api.github.com/repos/YunYang1994/cuda-tutorial
238,True,BarracudaX/PetClinicWeb,https://api.github.com/repos/BarracudaX/PetClinicWeb
239,True,fernandoFernandeSantos/CUDA_training,https://api.github.com/repos/fernandoFernandeSantos/CUDA_training
240,True,wwhio/cuda-container-with-ssh,https://api.github.com/repos/wwhio/cuda-container-with-ssh
242,True,sogangori/cuda,https://api.github.com/repos/sogangori/cuda
244,True,shunxu-cas/cuda2hip,https://api.github.com/repos/shunxu-cas/cuda2hip
245,True,whollybrewed/stego74-cuda,https://api.github.com/repos/whollybrewed/stego74-cuda
246,True,bringmethathorizon/cudaExample,https://api.github.com/repos/bringmethathorizon/cudaExample
247,True,ragaDani/CUDA-Projects,https://api.github.com/repos/ragaDani/CUDA-Projects
